UrbanPopulation,Surface_Area_of_Built_District,Road_Surface_Area_Per_Capita_m2,Parkland_per_capita,Rate_of_non_hazardous_treatment_of_domestic_waste(%),Population_urbanization,GDP,First_sector_of_GDP,Industrial_wastewater_discharge_(tonnes),Industrial_fume_emissions_(tonnes),Comprehensive_industrial_solid_waste_utilisation_rate(%),Citycode,Area_of_administrative_districts,Greening_coverage_in_builtup_areas,Year,CO2,ISA,NPP,NTL,PD,pm2.5,Science_expend,SO2_REMOVE,Sewage
1863.4,1469.05,7.57,16.3,99.94,0.865,303199787,0.39,8422,15343,68.93,110000,16405,48.44,2018,77704186.7270779,3785.89,394.495890604855,21.8227231191,815.16436,44.1819144199,4258712.0,266360.0,93.4
1296.81,1077.83,11.67,9.38,98.37,0.8315,188096400,0.92,17729,34837,98.9,120000,11924,38.03,2018,136320006.110825,4174.41,323.642982866888,32.2453064263,773.890542706664,52.7190441835,1057097.0,1313982.0,97.9
281.16,309.12,21.77,16.35,100.0,0.6316,60826180,6.91,6660,27420,84.0,130100,14058,41.16,2018,84371591.0120034,2984.41,331.391649938857,13.3742366141,508.018181818182,60.3145831232,118720.0,1123190.0,99.66
193.99,249.0,18.02,15.54,100.0,0.6314,69549700,7.09,7877,227824,74.41,130200,13808,41.51,2018,285221921.049723,3583.2,379.800367228061,18.8090181921,380.437365748877,47.4855075827,89057.0,1436456.0,98.6
100.9,138.43,17.74,17.89,100.0,0.5942,16355631,12.43,2023,19289,77.46,130300,7792,41.29,2018,21050996.3275622,1059.48,457.052577485794,9.07985757884,261.978827913279,39.7490571174,30638.0,185866.0,97.01
194.78,188.55,20.39,15.71,100.0,0.5687,34545705,9.07,2591,61141,80.0,130400,12070,42.76,2018,123080993.168951,2772.67,323.66712456159,12.5238490942,543.523125178215,63.0372299662,53089.0,870523.0,98.41
90.52,105.89,17.32,16.72,100.0,0.5291,21507611,12.34,4137,36704,95.6,130500,12442,41.44,2018,47226352.2798726,2892.11,304.311234688509,10.3171359614,405.736659888993,62.382643211,29004.0,140243.0,97.0
143.46,195.0,18.92,10.77,99.21,0.5254,35897885,11.54,6539,9255,76.0,130600,22200,42.2,2018,51207939.3271595,3569.44,364.579833335772,10.2347159603,348.899675109801,53.6505453774,43063.0,561733.0,97.81
100.63,100.94,18.59,9.8,98.95,0.5724,15366202,14.75,1827,23701,48.09,130700,36787,39.98,2018,44667627.2471167,1291.42,376.139452052527,2.33813849752,79.7467465874531,31.5669245849,28555.0,635857.0,96.92
55.03,78.02,18.38,19.87,100.0,0.5207,14815102,18.05,984,27287,23.12,130800,39491,42.43,2018,32458583.2056264,665.53,466.786212914486,1.59094134942,58.891334925256,30.423102816,25418.0,148279.0,96.81
