UrbanPopulation,Surface_Area_of_Built_District,Road_Surface_Area_Per_Capita_m2,Parkland_per_capita,Rate_of_non_hazardous_treatment_of_domestic_waste(%),Population_urbanization,GDP,First_sector_of_GDP,Industrial_wastewater_discharge_(tonnes),Industrial_fume_emissions_(tonnes),Comprehensive_industrial_solid_waste_utilisation_rate(%),Citycode,Area_of_administrative_districts,Greening_coverage_in_builtup_areas,Year,CO2,ISA,NPP,NTL,PD,pm2.5,Science_expend,SO2_REMOVE,Sewage
1685.9,1186.0,5.57,11.28,96.95,0.8433,121530000,0.97,8198.0,21266.0,65.82,110000,16405,55.1,2010,72923448.4985983,3333.8,309.2326016803,18.0905269571,580.73508,66.1774307361,1789154.0,129888.0,80.3599999999997
587.4,686.71,14.89,8.56,100.0,0.7572,75218500,1.71,19680.0,53831.0,98.37,120000,11924,32.04,2010,118707037.986199,3524.78,258.074620872517,22.2535770408,601.187943668422,80.746845194,432530.0,374014.0,86.0999999999999
227.6,202.9,16.91,14.39,100.0,0.3904,30012797,10.27,19254.0,32631.0,93.36,130100,14058,43.01,2010,75397322.0701281,2494.87,257.810521215477,8.82182928561,464.547330447331,84.1574138222,45021.0,371446.0,95.0599999999999
193.08,234.0,15.12,15.13,100.0,0.3128,38127192,9.45,18170.0,98670.0,80.55,130200,13808,46.0,2010,233795256.633814,3079.26,309.636094719514,12.8984922489,371.363942589338,69.1887122733,47728.0,410080.0,94.41
82.97,89.48,19.44,19.9,100.0,0.4053,8045421,12.72,5608.0,11365.0,59.57,130300,7792,50.24,2010,20812097.8969287,898.59,386.528172987786,6.27695829095,248.421070460705,56.3503807844,7799.0,63450.0,92.52
148.1,110.55,19.58,19.61,100.0,0.3133,20152800,12.25,7686.0,34697.0,89.97,130400,12070,47.01,2010,106775733.76862,2371.46,265.082673504092,9.42861891308,511.177131451383,86.1049652908,21509.0,326731.0,97.45
61.4,70.0,20.0,15.74,100.0,0.227,10562913,15.04,9293.0,36357.0,94.62,130500,12442,40.6,2010,38231156.7609427,2498.83,261.193078830691,7.08672566372,390.393141726658,87.5925691667,8418.0,68779.0,83.85
107.25,132.33,15.23,13.25,100.0,0.2742,17300023,15.35,17866.0,14652.0,70.78,130600,22200,44.69,2010,39876309.6628221,3010.69,280.438798494456,5.72745716862,344.05186210216,75.1872751176,21708.0,107765.0,91.94
83.6,84.0,14.46,11.03,80.13,0.3357,8003407,15.17,6983.0,28188.0,33.27,130700,36787,38.52,2010,40221751.4271552,1062.41,317.307595679932,1.77906217701,79.2416896527336,38.94649822,11969.0,151881.0,86.0899999999992
50.88,99.75,13.0,27.2,99.05,0.2861,7601136,14.91,6290.0,21383.0,12.2,130800,39491,41.75,2010,24403463.7315164,464.07,397.914823536584,1.02577685406,58.0316312845507,40.9678540331,10349.0,47263.0,76.79
56.42,46.48,15.21,10.03,100.0,0.2953,18012287,12.0,6871.0,6134.0,99.6,130900,14140,42.2,2010,32540908.1947782,2590.23,264.96373593775,8.15087621308,340.205357142857,83.126476691,11816.0,82159.0,104.119999999999
44.8,59.45,16.53,13.01,95.1,0.2938,11474791,12.06,6662.0,9855.0,99.41,131000,6415,47.15,2010,29117670.7561128,1523.99,232.616319667672,15.745400686,425.560070855476,86.3130658592,23539.0,26263.0,86.8700000000001
36.2,43.56,17.18,11.34,100.0,0.237,6521058,18.85,6502.0,28691.0,100.0,131100,8834,40.89,2010,30436170.6211218,1855.65,264.610975081255,5.62211668928,347.14041542117,87.3336039159,6741.0,49792.0,94.7699999999986
272.21,245.0,8.09,8.57,94.8,0.8106,15452409,1.85,2557.0,34814.0,52.27,140100,6905,35.75,2010,45121431.5648588,644.51,315.779789966061,9.0131826742,350.287367595135,50.2291922344,47015.0,254968.0,83.5
120.5,108.0,13.79,6.84,48.47,0.4909,5962587,5.22,4832.0,77185.0,68.94,140200,14059,37.46,2010,49233069.9120232,680.28,272.560511170922,4.31320593877,150.676102544875,40.6393266763,8952.0,180820.0,81.0800000000004
55.87,51.58,9.88,8.96,100.0,0.5621,3487100,1.68,1134.0,18891.0,23.4,140300,4564,39.42,2010,17833869.6108544,177.29,314.064248181083,5.00505050505,201.61795592368,53.2600603164,7190.0,194151.0,76.5999999999985
66.52,59.3,6.68,12.2,100.0,0.3846,7752901,4.54,5241.0,64370.0,67.87,140400,13967,48.25,2010,59624609.4933307,444.68,378.200792838319,4.08885552934,166.087475247525,56.5092176466,14644.0,162377.0,88.6700000000001
33.0,35.4,11.49,13.82,93.21,0.4129,6060499,4.15,5188.0,48202.0,75.21,140500,9425,38.66,2010,38606595.2527345,367.82,382.873679405243,4.31665604419,171.861135824437,59.7061882263,12768.0,78767.0,95.0
27.2,36.6,15.8,9.27,100.0,0.4287,5613074,5.26,1535.0,24847.0,48.35,140600,10630,43.56,2010,32339148.8571138,403.73,256.87418820032,4.642272599,96.3751863817097,40.5464795147,7314.0,141307.0,95.0600000000004
38.56,39.14,15.18,10.63,22.45,0.4063,6368106,8.85,2189.0,36121.0,90.89,140700,16370,40.23,2010,30143600.9412832,751.45,354.358485001216,3.66018055386,136.431652579423,52.3403556702,10119.0,195185.0,91.6200000000001
39.0,30.0,7.72,9.19,95.0,0.3251,7230077,15.87,11854.0,48997.0,70.8,140800,14234,23.91,2010,56549770.0202451,1462.64,358.438460831186,4.9400633134,255.874300707956,66.4492984166,10801.0,340404.0,86.7999999999993
22.0,30.1,8.8,2.15,66.1,0.3563,3493072,12.19,1452.0,15163.0,88.67,140900,25148,17.33,2010,26240266.8390753,501.08,328.689441470844,2.14885844749,83.8142355569741,42.9866528962,8927.0,62772.0,23.8599999999969
39.4,37.4,11.59,13.63,52.0,0.3576,7668659,7.24,3068.0,57998.0,80.98,141000,20310,42.7,2010,50003155.8919473,1121.96,361.461646586343,3.18975799694,144.252749504748,56.4125236456,10401.0,134243.0,80.2600000000001
20.53,18.0,10.48,13.59,35.0,0.371145923535123,6115606,6.17,6052.0,60902.0,91.67,141100,21143,36.33,2010,42963305.389406,650.18,326.839678672268,3.69071969697,115.542466991639,48.2556074989,11657.0,104145.0,65.0
120.56,166.2,10.23,15.39,97.88,0.4639,16439925,4.75,2374.0,12731.0,38.62,150100,17179,35.73,2010,56704148.78496,405.68,207.786847912435,3.73603587862,97.8389256638515,39.198510368,19254.0,666369.0,111.769999999993
151.0,183.49,12.83,12.0,92.4,0.731,21687980,2.55,4833.0,32563.0,81.06,150200,27737,40.09,2010,71802630.3596801,658.61,114.825329231847,2.06363010472,56.3109830097087,36.7704197071,29227.0,274369.0,80.1600000000003
44.17,62.92,13.55,9.51,81.53,0.9648,3112080,1.0,4352.0,19316.0,68.85,150300,1656,33.94,2010,26365714.0117369,157.81,86.391215551181,13.4401451028,184.5512,46.8636160704,7768.0,13059.0,78.9600000000009
81.4,81.0,9.18,8.36,60.2,0.2324,9128888,16.32,2723.0,10836.0,38.37,150400,86919,34.23,2010,28944202.6730076,1175.84,250.901907593428,0.656545441998,34.1653164192014,35.8076385872,7972.0,140334.0,104.24
