UrbanPopulation,Surface_Area_of_Built_District,Road_Surface_Area_Per_Capita_m2,Parkland_per_capita,Rate_of_non_hazardous_treatment_of_domestic_waste(%),Population_urbanization,GDP,First_sector_of_GDP,Industrial_wastewater_discharge_(tonnes),Industrial_fume_emissions_(tonnes),Comprehensive_industrial_solid_waste_utilisation_rate(%),Citycode,Area_of_administrative_districts,Greening_coverage_in_builtup_areas,Year,CO2,ISA,NPP,NTL,PD,pm2.5,Science_expend,SO2_REMOVE,Sewage
1333.0,1254.23,7.4,10.68,74.57,0.755995323981296,78702835,1.42,10170,14648,80.79,110000,16405,44.34,2006,63899288.3877833,2999.43,295.940510181831,15.5945781298,573.6606,71.2876166327,193238.0,86153.0,75.0799999999999
567.45,539.98,13.98,6.59,85.06,0.601797890166405,43591500,3.04,22978,66920,98.41,120000,11924,5.55,2006,83839460.9792781,3062.77,254.06611792499,18.3538168886,594.105793450882,87.9975925229,33063.0,176665.0,83.5
195.05,174.96,9.12,8.24,100.0,0.402863225119745,20266320,13.87,24196,86665,95.84,130100,14058,36.15,2006,62198545.6965131,2280.7,255.962649685057,7.44489419117,458.924146224146,92.6210628683,4542.0,179444.0,93.46
187.07,209.11,12.31,8.95,98.9,0.318861942374013,23621410,11.65,28713,143440,61.64,130200,13808,42.17,2006,152009934.763574,2593.41,303.394370013929,9.90677426205,366.763864479594,75.5501437481,3287.0,170324.0,93.61
78.87,82.62,13.52,8.29,100.0,0.419654951165609,5520509,10.44,5508,15740,91.94,130300,7792,42.7,2006,15965912.2421529,801.55,373.610249486116,4.94201424212,245.107130758808,61.1641922553,745.0,13644.0,92.48
144.13,101.8,11.97,10.21,90.5,0.308838166764693,13594576,13.66,12417,75885,77.23,130400,12070,42.97,2006,79460556.4266553,2201.56,250.876518412243,8.32782117334,505.035186769319,94.7001329967,2141.0,82556.0,97.33
57.63,50.57,13.95,7.71,0.0,0.227294014342163,7909297,18.26,9171,57472,66.37,130500,12442,35.73,2006,37165654.2547511,2368.74,230.689779303089,6.43676588898,385.447656207067,97.9530409504,884.0,25542.0,83.53
105.23,100.0,11.55,7.25,89.7,0.267684073484739,11999550,18.29,16071,23983,84.57,130600,22200,36.5,2006,29374172.939872,2774.57,277.816555602748,5.24819657349,339.850370013838,82.820576672,1223.0,39242.0,91.82
81.12,76.82,9.56,4.83,0.0,0.309406759110249,4841665,16.2,7674,27602,42.48,130700,36787,34.92,2006,31472222.5591959,871.59,314.214769973784,1.22286895501,78.2870429309003,42.5294709843,2158.0,52821.0,75.6499999999996
41.12,77.27,8.72,21.28,0.0,0.265348766874708,4279969,18.25,7057,25172,29.64,130800,39491,29.6,2006,16293772.9590513,381.37,407.00314162462,0.694099457596,57.3283994635439,43.072610679,1227.0,33915.0,67.4700000000003
50.05,42.0,14.67,3.73,73.0,0.294608091481508,12816666,11.97,7469,11842,99.97,130900,14140,31.79,2006,21046782.6157307,2397.65,231.232318645461,7.5017105355,336.045746927803,91.6135405444,2393.0,15398.0,120.6
40.0,54.07,13.5,9.88,93.0,0.297245387920142,7298720,16.22,5498,37718,90.15,131000,6415,45.8,2006,19004469.0278285,1368.24,234.841016764749,13.6261303399,420.438782953006,94.8984716063,2308.0,11002.0,85.9900000000001
35.3,43.9,15.97,5.76,0.0,0.2379848079699,5469867,17.43,6566,47549,99.96,131100,8834,24.8,2006,30921367.8032195,1790.75,218.341462621884,4.95567616463,343.284663140952,99.3681129682,1076.0,99552.0,123.609999999999
270.94,197.0,8.38,8.07,80.3,0.719540163981423,10136482,2.26,3486,49032,44.0,140100,6905,37.27,2006,38098115.3168802,604.94,283.618344416419,7.99608865711,346.0253040408,57.9414767383,2896.0,100176.0,81.5
115.35,91.2,10.23,4.52,0.0,0.461991172143207,4059573,5.92,4207,93415,41.0,140200,14059,29.18,2006,33797790.2106408,589.08,272.50299131272,3.34176315976,148.851525519051,45.8258180894,1179.0,92945.0,75.2800000000002
52.45,43.05,8.54,6.29,0.0,0.508057542646018,2374387,1.77,1513,64712,12.72,140300,4564,30.16,2006,20332923.7321208,154.48,329.877627324169,4.32894158981,199.184883892915,59.7760537179,524.0,57144.0,49.7999999999993
68.69,45.3,5.06,5.69,60.0,0.285660731021556,4603998,7.25,3404,86527,58.33,140400,13967,45.09,2006,47258128.6583994,372.12,406.468903169592,4.39895632283,164.081386138614,64.4352121618,1395.0,44375.0,84.9499999999998
31.4,31.0,8.73,11.59,33.7,0.227410250620908,3644086,4.67,5194,62140,51.0,140500,9425,43.19,2006,29897599.5145055,312.13,402.211981867397,4.29477374124,169.766310794781,67.7735665087,1268.0,11685.0,95.0
25.35,29.44,12.69,7.92,18.0,0.247228753778972,2341263,10.19,2730,53912,17.0,140600,10630,38.55,2006,28168472.3069335,350.54,248.192476560714,2.71564293105,95.1960114314115,45.899660721,297.0,6799.0,85.1800000000003
38.76,36.95,10.33,6.65,60.0,0.274193548387097,3856794,11.16,1795,76617,48.5,140700,16370,27.6,2006,21322787.6222184,691.79,359.373730585422,3.29449798707,134.805720947662,60.3838518198,497.0,61452.0,89.26
36.5,30.0,5.05,4.05,2.71,0.17228304947283,5502093,11.39,14365,64663,65.0,140800,14234,19.27,2006,44301810.4408081,1327.23,375.640653303299,4.72149138234,252.786672607555,76.7398159581,818.0,193191.0,62.7999999999993
20.96,20.1,6.77,1.13,6.0,0.211719974652303,1944549,13.64,1650,110815,82.0,140900,25148,11.5,2006,16293919.6154236,437.75,293.007192405548,1.26920786182,82.7974784551548,48.4129888263,611.0,15094.0,-19.7400000000016
42.9,37.4,6.09,9.36,0.0,0.242331214773954,5887387,5.82,4877,117564,83.63,141000,20310,27.19,2006,32893364.3026219,1041.62,368.897316885354,4.03859234068,142.462224195642,66.4998486921,964.0,39593.0,78.5400000000001
19.35,13.3,9.79,13.21,0.0,0.213596794251762,4057513,6.33,633,73840,75.95,141100,21143,22.3,2006,26458064.8028788,566.13,279.502177184712,2.9224905303,114.138360719243,56.5893453608,998.0,5692.0,57.0
104.51,150.0,10.09,10.62,73.13,0.463926602103702,9000845,6.34,1849,38032,44.24,150100,17179,30.1,2006,46015425.9286949,293.21,229.955604201608,2.78012697303,96.650840751731,43.6195952713,717.0,39581.0,176.849999999995
133.28,178.12,10.57,10.79,97.2,0.629866767101361,10101178,3.66,5189,60412,56.01,150200,27737,35.23,2006,58460132.2079735,499.08,123.269735848231,1.60470340979,55.6252100448096,40.2632312073,2141.0,170756.0,71.8800000000006
42.69,37.51,10.69,8.1,85.55,0.999538638985006,1523965,1.62,683,16611,47.07,150300,1656,19.52,2006,21599668.3825219,133.05,80.1798474409446,10.0278113664,182.2112,52.2631525745,303.0,112749.0,51.6800000000003
70.45,72.0,5.18,4.59,77.04,0.226338819661936,4280089,26.53,2180,40967,25.44,150400,86919,22.71,2006,21801561.2528764,988.8,257.027033941428,0.386653785108,33.761186391812,36.8538935109,1195.0,81363.0,132.720000000001
40.35,32.3,7.85,7.44,10.0,0.360948449649611,4130283,27.05,1511,18152,25.84,150500,58861,34.83,2006,21734621.6360535,1628.94,225.52576477607,0.432890579882,33.8505822293477,40.8540412114,1863.0,4973.0,98.9899999999998
23.36,28.0,11.0,22.28,25.0,0.657208475329679,3950600,27.35,4677,25323,69.0,150700,252851,32.18,2006,20548808.922684,792.44,398.048561857223,0.199562659033,6.65888375026741,27.5336286126,1192.0,356.0,41.8999999999996
29.4,32.38,10.48,3.98,12.5,0.3408951563458,2782323,30.28,3726,22727,21.87,150800,65072,22.56,2006,9542624.79641795,758.11,111.173995389634,0.319058144532,17.5808408117227,43.7405241493,1992.0,20370.0,214.039999999994
29.44,35.0,9.77,22.5,88.0,0.242342536669543,2850871,25.98,818,25729,29.0,150900,54444,25.0,2006,37224760.0257365,291.8,179.146110214003,0.36807189062,28.5356089388112,38.4856647339,942.0,768.0,41.1999999999998
442.61,325.0,9.45,9.41,100.0,0.646170902268463,25196338,6.06,7663,60960,91.92,210100,12870,41.07,2006,22157119.4705463,1768.27,345.931034568393,7.36091686092,375.707365396998,59.7484824688,12037.0,22808.0,75.6500000000001
276.97,258.0,8.49,8.0,84.44,0.574884631520067,25696699,8.52,33709,21515,78.69,210200,13247,42.8,2006,36215499.7124174,1987.02,477.202470530833,6.0939242523,316.839395491803,54.7187875617,5281.0,143727.0,86.6999999999998
140.81,140.43,8.99,8.42,100.0,0.505373262645078,11360123,5.5,5201,41170,15.3,210300,9253,35.93,2006,49096970.1262326,961.27,457.967341695123,4.40667170463,264.099795760265,55.1484890952,1359.0,35045.0,27.3200000000033
130.77,120.45,7.2,7.54,0.0,0.662393925859759,4578224,7.38,5968,28821,65.41,210400,11275,39.44,2006,24340277.7277567,376.44,590.583788209608,1.95709219858,137.425001423123,45.9812122919,2002.0,40131.0,55.79
91.42,106.5,5.5,7.75,80.0,0.670316301703163,4003426,6.44,10012,44142,39.71,210500,8414,42.62,2006,13725820.9765633,251.87,596.884914537772,2.02117031399,127.282153846154,45.1503007571,1279.0,7089.0,124.219999999999
63.4,53.42,9.26,6.02,30.0,0.416542965528616,3853331,16.19,5300,27413,62.0,210600,14670,35.72,2006,9997521.23879431,534.3,561.893414892954,1.13583502366,112.376137512639,46.1769774957,3106.0,3300.0,110.16
88.0,63.63,8.18,6.94,89.0,0.385058214747736,4602450,23.05,4943,47385,49.46,210700,9997,37.06,2006,13575676.163479,1277.46,332.350099428677,2.9662865642,212.312609970674,56.087512609,1983.0,31010.0,53.1799999999994
86.17,92.8,6.31,9.69,0.0,0.453176389129306,4572440,10.8,5330,40905,99.96,210800,5331,34.97,2006,17698056.7363436,711.82,451.477075495362,6.39308462238,299.270233535154,55.2227678813,869.0,50559.0,45.54
78.2,66.0,5.32,6.46,72.5,0.447997097994507,1586389,24.91,1043,16736,100.0,210900,10324,43.24,2006,9173454.73659405,726.95,302.856181828902,1.66753875969,122.674723247233,49.4547483439,513.0,49136.0,208.549999999996
71.89,83.59,10.42,7.57,76.0,0.435278006025746,3930333,7.72,5874,22294,16.37,211000,4732,35.73,2006,20163621.4698157,579.77,431.436601039103,7.35015906681,267.718925585857,57.2822204874,960.0,18519.0,72.8999999999996
58.54,57.64,10.89,6.51,91.25,0.621262197041234,5091464,10.62,1796,6532,84.07,211100,3661,36.52,2006,4788491.54006438,657.95,340.000430510061,7.55578782336,242.462008262978,61.0053409888,895.0,18177.0,100.0
37.68,39.11,10.99,7.67,53.48,0.319892296578446,3239324,26.38,2246,43665,38.17,211200,12981,38.32,2006,20629547.6407416,762.12,427.94007172518,2.16429066811,146.169894366197,50.9484461785,2089.0,4607.0,39.2200000000012
49.7,29.0,5.54,7.08,89.0,0.273494471888967,2540231,26.28,3860,26226,41.85,211300,19700,29.83,2006,11591493.463714,1095.16,310.827419231299,1.6687826926,110.135212831988,46.7637880353,1009.0,5448.0,85.1500000000001
40.79,64.32,10.05,11.69,0.0,0.304059201218849,3481105,14.88,3134,28534,70.32,211400,10327,42.45,2006,12577377.3655275,864.47,373.692273763799,2.27783548966,171.484798581201,53.3331048534,714.0,415133.0,-192.320000000007
250.85,267.38,12.3,11.47,90.97,0.440508075643211,17411922,10.72,4024,61849,99.04,220100,20557,41.54,2006,22655309.7964812,1525.3,347.668919906275,3.07591559544,215.050763320694,48.6874467577,2712.0,10672.0,104.66
180.46,165.63,6.42,5.43,0.0,0.488616299600409,7288301,15.97,14901,80813,59.84,220200,27716,41.72,2006,27413133.1687851,621.38,534.630082941541,1.5151788615,106.874825646794,43.1030487712,2462.0,66980.0,93.4
54.0,38.85,5.54,2.81,95.57,0.382866974554016,3801684,36.76,682,23023,96.06,220300,14414,18.84,2006,11673462.1438892,542.09,348.912501869746,1.5234932109,146.06013986014,48.787612953,1166.0,1671.0,47.1800000000003
45.75,46.16,4.68,8.86,61.4,0.462314880112835,2847362,17.67,6813,29293,84.67,220500,15559,33.41,2006,8085108.41913372,328.59,575.757860530478,1.32985708768,100.123379014113,43.2021418803,1583.0,3180.0,78.8699999999999
40.94,35.74,6.11,3.28,93.3,0.674411447915064,1919006,16.18,1252,47518,24.16,220600,17434,7.38,2006,6366801.71697825,144.33,627.677002673702,0.815896700143,50.7068170169144,39.2253170123,550.0,2547.0,246.590000000004
45.6,36.59,9.11,10.09,0.0,0.270802631105999,4736781,25.88,2047,31153,86.44,220700,21160,42.97,2006,9573566.755243,1254.81,263.20348902313,1.09278058454,84.4241110147441,45.4955262908,382.0,1811.0,84.79
25.68,38.11,8.95,6.92,0.0,0.397875494071146,1900399,32.21,1456,17285,90.76,220800,25756,29.39,2006,2767830.32647925,1738.28,190.846085327532,0.511386119409,50.2520286957544,40.2103386709,1696.0,361.0,-64.9500000000044
396.16,331.21,6.42,6.35,85.0,0.48266013871889,20940751,16.38,3979,65078,63.8,230100,53076,28.87,2006,32006997.8570291,1787.4,451.20896863315,2.14494036965,112.768570717019,41.5755964138,8919.0,7485.0,-14.3600000000006
109.31,134.79,7.55,6.64,37.59,0.356741473758615,4815986,25.9,6563,58640,71.99,230200,42259,23.69,2006,18915462.5846826,1879.51,302.076289480159,0.916729768102,78.5016923603974,35.1461378409,1143.0,2696.0,64.76
75.0,79.0,4.26,8.98,71.06,0.631366589813456,2362214,31.61,1540,33829,79.96,230300,22466,32.26,2006,7452651.63697501,429.24,434.515269357353,1.0848398703,55.170606840356,36.0147350944,495.0,1390.0,50.0
125.39,159.31,16.79,4.54,82.94,0.486149275900483,16203336,3.03,7984,41342,79.02,230600,21193,35.03,2006,20315870.8853294,2433.4,269.464103692067,4.08446185061,78.1710750972654,41.0286876735,368.0,4251.0,90.8800000000001
77.93,159.12,7.34,16.2,0.0,0.856192265539377,1303332,24.88,1665,29484,59.97,230700,32792,23.13,2006,5691208.98567363,277.66,476.880423251136,0.70368453106,23.2870402987178,30.3400284151,1029.0,621.0,85.0
60.58,58.84,5.52,8.6,63.39,0.494983681856642,2785370,31.09,3960,55545,80.26,230800,32702,39.9,2006,12585435.9540985,694.1,368.675428275902,1.26290892336,44.6483006197425,35.0402393608,648.0,8.0,-85.8000000000029
35.97,61.66,9.68,4.24,58.62,0.55664084427978,1142269,13.07,1732,24898,77.77,230900,6189,28.29,2006,7260321.62745209,185.38,439.965994962219,3.11943024105,84.5102040816327,35.1370088666,353.0,550.0,85.2
68.84,62.09,12.61,6.2,100.0,0.549763209904165,3470888,15.73,10602,45821,63.5,231000,38796,44.48,2006,12239049.0397592,513.6,569.143976111353,0.650430168461,44.7449921863901,34.5564890698,1025.0,3394.0,104.91
13.7,18.5,9.29,4.26,0.0,0.562107326070667,1356863,38.15,331,4200,97.2,231100,66870,18.0,2006,4969891.59339505,550.67,436.216254846497,0.335192773607,14.9971251807269,30.243721654,554.0,101.0,20.4000000000015
29.2,27.5,5.96,3.42,0.0,0.263139391808754,3972715,36.05,762,3171,100.0,231200,34905,23.64,2006,8240202.32913864,1426.75,334.545426279189,1.2636710349,89.0280232009172,40.8457642355,712.0,722.0,97.0399999999998
1815.08,860.21,11.84,7.33,61.6,0.857625285071049,103663700,0.88,48336,47255,94.66,310000,8059,37.55,2006,124628480.054947,1908.11,501.135782721337,32.350456193,2005.86182994455,53.3330700269,202682.0,94494.0,82.5
431.32,574.94,17.14,13.2,94.6,0.776328574016435,27737800,3.32,43182,42727,88.5,320100,6586,45.49,2006,69229165.0925243,921.19,416.438387384083,15.8847611827,708.360101623771,63.2878014354,24975.0,345002.0,43.5
232.3,197.5,21.12,11.0,90.1,0.723110528615116,33005900,1.72,53751,52283,97.4,320200,4625,41.1,2006,40530623.7629214,850.4,430.168154968728,24.8293828742,864.737846943687,62.0228074312,5187.0,87717.0,79.3000000000002
123.31,144.13,9.32,6.78,100.0,0.343157917259529,14288000,14.02,9752,37658,96.8,320300,11146,37.96,2006,98617402.3664655,2294.58,443.692219174983,7.30944040241,593.043675553035,76.4215878615,2691.0,100930.0,59.6999999999998
120.16,107.58,13.92,8.6,100.0,0.454507006513097,15694600,4.34,27300,32386,98.5,320400,4371,40.44,2006,44550226.7034851,581.89,424.038784592977,17.2017403252,666.299248120301,62.5136859011,2069.0,28034.0,59.2999999999993
184.04,214.5,15.12,8.37,100.0,0.521717958706661,48202600,2.2,73227,61606,98.4,320500,8664,42.86,2006,134605123.77408,1353.89,410.733291207798,26.4512463768,635.402122536342,61.1270838324,5224.0,261492.0,57.6000000000004
86.64,59.32,11.86,7.45,100.0,0.343340391535354,17583400,10.87,15376,40718,98.2,320600,9484,41.83,2006,31653241.7734747,693.93,556.607779736003,10.1804907727,669.198319755601,55.4117349569,2504.0,42469.0,92.5
70.96,85.5,18.38,8.41,100.0,0.472132994034458,5273800,20.48,3855,15291,91.3,320700,7450,57.97,2006,23673199.5225521,1163.96,478.303060199137,7.62945838838,459.423840427562,66.2258474251,1402.0,29324.0,58.4000000000001
90.0,89.0,12.77,8.51,100.0,0.324367445003379,6510600,21.34,6155,29660,99.8,320800,10033,38.3,2006,24686484.8497054,1011.37,502.16322815534,4.87598209846,382.680154418073,65.0603987343,867.0,20809.0,-85.1999999999971
62.39,71.64,11.29,6.81,100.0,0.360506008226362,11742600,22.74,9124,17578,96.9,320900,15492,37.61,2006,21285371.0082575,1371.04,528.196861218078,5.02770325076,408.799690117658,57.1426897626,1162.0,26112.0,17.7999999999993
63.77,70.0,14.48,15.87,100.0,0.394754055468341,11001600,9.68,12594,16048,83.2,321000,6587,40.41,2006,22141946.2090048,643.43,464.626462305025,10.9797595495,528.347845110479,63.4050761962,1588.0,36988.0,53.6000000000004
85.45,90.12,14.27,11.53,100.0,0.429554670932698,10215200,4.44,10320,31399,89.0,321100,3842,39.62,2006,48710768.9544918,417.21,454.478453761005,14.4048614741,576.355627131489,63.262861231,1476.0,35219.0,23.5
57.15,50.04,17.12,7.25,100.0,0.274821286735504,10022800,10.93,18352,15069,99.3,321200,5789,41.94,2006,21344954.0785754,554.98,469.695215392474,11.5063050613,642.318849759311,61.7291404809,1320.0,13352.0,30.8999999999996
41.0,47.6,23.93,9.64,100.0,0.421874704893573,4542000,26.51,4203,9559,100.0,321300,8525,39.48,2006,16484094.4129221,1091.08,498.154177469263,5.39276910435,445.908156443256,68.9220709369,174.0,9362.0,53.5
249.11,327.45,15.51,10.76,100.0,0.464918731521364,34415068,5.04,76539,33596,94.29,330100,16847,38.14,2006,44308269.2880085,962.2,597.811330938747,7.47798779404,323.16790344211,47.3261240273,12028.0,92815.0,94.8099999999999
138.0,215.2,7.28,6.4,95.92,0.337193326790971,28744435,5.4,15827,26501,91.2,330200,9546,37.5,2006,63478270.819918,1038.06,646.965039187463,13.3140567677,537.563010050683,42.7634141821,11732.0,372705.0,60.3000000000002
103.38,141.0,10.14,5.99,74.3,0.207513747884941,18375038,4.06,11409,6389,87.58,330300,11598,22.59,2006,18372183.5709126,579.17,745.202809328002,6.38739324929,531.484009099425,37.4094532973,8538.0,39710.0,50.5600000000013
34.47,73.12,15.11,7.23,100.0,0.345671285948443,13466481,7.28,16291,29417,98.31,330400,4921,41.57,2006,24810405.2975238,412.08,482.58229695943,18.955613577,698.828465116279,58.87797095,8716.0,39792.0,75.5200000000004
