UrbanPopulation,Surface_Area_of_Built_District,Road_Surface_Area_Per_Capita_m2,Parkland_per_capita,Rate_of_non_hazardous_treatment_of_domestic_waste(%),Population_urbanization,GDP,First_sector_of_GDP,Industrial_wastewater_discharge_(tonnes),Industrial_fume_emissions_(tonnes),Comprehensive_industrial_solid_waste_utilisation_rate(%),Citycode,Area_of_administrative_districts,Greening_coverage_in_builtup_areas,Year,CO2,ISA,NPP,NTL,PD,pm2.5,Science_expend,SO2_REMOVE,Sewage,PUI,LUI,EUI,EAL
31.44,37.48,26.38,14.37,100.0,0.5534,15010000,8.18,784,37521,29.51,140900,25148,44.25,2022,39988286.8862572,693.19,413.65371368224,7.84339023422,85.9270667092244,28.3963103275,7235.0,299832.0,96.75,0.5534,0.027564418641641483,0.9182,7.84339023422
59.8,56.2,12.53,14.41,100.0,0.5477,22280000,7.09,4645,27099,74.95,141000,20310,42.33,2022,56102630.5025092,1245.34,457.942439841791,8.54313445337,156.29964478448,36.5407709682,4910.0,1017851.0,99.29,0.5477,0.06131659281142294,0.9291,8.54313445337
33.53,33.32,13.13,13.94,100.0,0.549,24190000,4.46,2328,38243,42.6,141100,21143,43.11,2022,56156650.3971778,865.31,419.373277356681,9.33412221328,126.956354714788,30.6785174616,14657.0,270225.0,97.96,0.549,0.04092654779359599,0.9554,9.33412221328
152.49,271.08,12.89,17.26,100.0,0.798,33290000,4.82,2613,3120,33.58,150100,17179,43.77,2022,77617642.3877239,683.16,267.236777348233,9.44577751893,115.379936087651,24.4662798233,44325.0,6505377.0,97.15,0.798,0.039767157576110365,0.9518,9.44577751893
139.29,211.62,18.04,15.62,100.0,0.8689,37500000,3.54,3284,33585,48.3,150200,27737,44.71,2022,97250073.5286764,900.71,141.801274233982,4.38625738412,65.5119492158327,20.9692213234,39154.0,512665.0,96.35,0.8689,0.032473230702671524,0.9646,4.38625738412
39.56,57.44,46.01,22.82,100.0,0.9595,8030000,0.99,835,19642,59.74,150300,1656,43.0,2022,32810877.2436706,216.55,100.389763779527,25.4839879154,223.3608,31.6016227506,17426.0,-1543785.0,98.52,0.9595,0.1307669082125604,0.9901,25.4839879154
72.14,117.26,23.93,21.8,100.0,0.5464,21480000,20.95,1421,106500,38.36,150400,86919,40.8,2022,42574047.7060463,1716.98,354.529408586785,3.89626723126,33.1792345394263,17.2912299633,26860.0,-2809722.0,97.12,0.5464,0.019753793762008306,0.7905,3.89626723126
42.4,62.5,26.92,21.21,100.0,0.5102,15620000,25.55,2020,83679,54.65,150500,58861,43.13,2022,59328994.5535551,2373.03,351.823842684262,5.08437192244,35.1243144038478,21.6351547967,17320.0,877204.0,98.78,0.5102,0.04031582881704355,0.7444999999999999,5.08437192244
27.88,31.5,22.66,15.7,100.0,0.7483,15360000,25.32,4680,97038,10.31,150700,252851,38.19,2022,50868432.5671284,1242.76,450.489307673802,1.58753234982,6.39664203215939,15.4479776521,13452.0,125359.0,98.64,0.7483,0.0049149894601959255,0.7468,1.58753234982
34.0,51.0,27.49,11.1,100.0,0.6078,10850000,27.06,2105,26480,36.13,150800,65072,37.09,2022,18614698.4785154,1156.06,137.92134170148,2.32312486568,17.4692833608723,24.9626782681,20063.0,47254.0,98.6,0.6078,0.017765859355790507,0.7294,2.32312486568
26.14,75.4,38.77,34.62,100.0,0.6095,10180000,17.41,673,11959,60.96,150900,54444,40.75,2022,67737125.2684117,662.2,202.657434752446,2.98197718212,26.7087217122496,19.9651883463,19442.0,-50143.0,100.0,0.6095,0.012162956432297407,0.8259,2.98197718212
