UrbanPopulation,Surface_Area_of_Built_District,Road_Surface_Area_Per_Capita_m2,Parkland_per_capita,Rate_of_non_hazardous_treatment_of_domestic_waste(%),Population_urbanization,GDP,First_sector_of_GDP,Industrial_wastewater_discharge_(tonnes),Industrial_fume_emissions_(tonnes),Comprehensive_industrial_solid_waste_utilisation_rate(%),Citycode,Area_of_administrative_districts,Greening_coverage_in_builtup_areas,Year,CO2,ISA,NPP,NTL,PD,pm2.5,Science_expend,SO2_REMOVE,Sewage
50.89,62.92,17.99,18.39,90.71,0.9457,6010187,0.79,1389,65754,49.15,150300,1656,41.84,2014,29853692.5736418,173.07,90.8509350393699,16.0743651753,207.1192,47.8712058128,14979.0,-505889.0,94.57
88.4,104.9,20.2,18.21,92.83,0.2456,17783716,15.43,4404,69153,24.1,150400,86919,39.19,2014,35730138.0563747,1371.25,308.694160108187,0.476100108113,31.89704483206,38.6111877388,17614.0,-843018.0,88.33
42.56,61.2,24.12,20.07,91.2,0.3886,18868000,14.18,2765,52952,71.98,150500,58861,29.77,2014,32823805.7913046,2054.03,288.811235573659,0.490742942555,33.7536705763227,44.1814519352,16102.0,363212.0,96.6
28.93,59.46,29.97,21.95,93.36,0.7084,15222009,17.21,5994,74946,49.0,150700,252851,9.59,2014,49807587.2630628,1027.38,481.578145681032,0.206540235369,6.14483855245253,28.3410838031,35378.0,48951.0,90.23
35.0,51.0,22.35,16.71,95.93,0.5257,8674600,19.42,2621,61607,61.8,150800,65072,31.15,2014,17285424.0309514,985.12,147.980781402617,0.447197151102,16.7893221462565,40.6611131298,6018.0,86658.0,96.48
27.5,60.0,25.94,34.81,91.17,0.4526,8737258,15.1,1701,50718,71.52,150900,54444,95.25,2014,56680707.110691,502.8,201.175694157011,0.723794472214,25.6902081563296,35.7771679335,14170.0,66105.0,93.98
466.97,465.0,16.29,14.1,100.0,0.7599,70987051,4.58,9134,83226,90.2,210100,12870,41.78,2014,39942381.1620175,2148.39,316.178101718486,10.9174048174,408.174550497796,62.8113658836,265649.0,262342.0,95.0
304.28,395.5,13.47,11.18,81.56,0.6705,76555761,5.77,40150,72465,83.66,210200,13247,44.78,2014,48582524.832437,2415.68,482.274912041911,8.49178072272,345.511014344262,56.5542177506,430258.0,386238.0,87.32
151.15,169.64,9.17,11.68,100.0,0.7467,23858951,5.5,6338,137301,23.94,210300,9253,38.82,2014,97570920.9703316,1084.42,394.333297271713,6.14822411746,259.76716670188,56.878927465,44872.0,26036.0,87.08
131.22,136.19,10.51,10.41,100.0,0.7203,12765826,7.29,2190,77166,49.25,210400,11275,41.7,2014,22460095.0429669,474.57,522.108817990774,3.20328014184,123.779928274606,47.7336706515,26845.0,356209.0,85.0
88.5,109.0,10.78,10.32,99.95,0.6769,11712452,5.43,2656,152206,14.4,210500,8414,50.46,2014,25093302.3367251,325.48,518.691380260979,3.90033301618,133.533,46.6838674249,30196.0,67748.0,91.59
60.79,53.4,16.31,11.21,100.0,0.5744,10226035,14.15,4327,45563,89.81,210600,14670,39.08,2014,14052423.515669,675.91,512.83429867266,1.81575388776,110.850925396756,47.1378172985,16876.0,125980.0,65.65
